OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
5118,LRA,2,High,19680.0666351318,597.503439662912
5119,LRA,2,High,151245.267261505,2550.58084460559
5120,LRA,2,High,22735.3696060181,652.06549321731
5121,LRA,2,High,2579327.7334137,6424.33307443792
5122,LRA,2,High,70476.7875976563,1147.79542974316
5123,LRA,2,High,82104.34425354,1271.07787750571
5124,LRA,2,High,161314.699298859,1606.82395885517
5125,LRA,2,High,3390099.43847275,8219.8211509308
5126,LRA,2,High,777014.535388947,4384.67928961453
5127,LRA,2,High,1523626.95118713,6348.69315202799
5128,LRA,2,High,2570690.93766022,6413.36261716736
5129,LRA,2,High,143792.869979858,15763.3644227393
5130,LRA,2,High,2586724.72662735,6433.36540003156
5131,LRA,2,High,83603.0415420532,1280.62674076931
5132,LRA,2,High,1208044.78554916,6331.3760409665
5133,LRA,2,High,23313.2498016357,865.988004063189
5134,LRA,2,High,2586253.44070435,6432.74877015875
5135,LRA,2,High,424100.098999023,4575.3232871095
5136,LRA,2,High,847392.168010712,8003.00544274003
5137,LRA,2,High,275992.689620972,3509.1587569125
5138,LRA,2,High,173757.249610901,2592.61995354439
5139,LRA,2,High,2024332.56435394,6466.90777785276
5140,LRA,2,High,657022.53717804,5320.50805182454
5141,LRA,2,High,196466.180480957,2321.73799338808
5142,LRA,2,High,151975.131023407,3356.03042344418
5143,LRA,2,High,25960.8960075378,1109.35579644948
5144,LRA,2,High,100330.837497711,2468.02025483936
5145,LRA,2,High,22378.3875007629,1067.59985072257
5146,LRA,2,High,477644.2602005,5406.35312165184
5147,LRA,2,High,2190728.2915802,7612.35941016292
5148,LRA,2,High,2572714.43331909,6415.68671285568
5149,LRA,2,High,519596.265102386,7766.51748596968
5150,LRA,2,High,657426.457714081,5495.78901884885
5151,LRA,2,High,2591075.00014496,6438.73323014726
5152,LRA,2,High,83646.909992218,1281.01716048323
5153,LRA,2,High,2656016.34728241,6519.5588552146
5154,LRA,2,High,345925.391597748,3066.37120913241
5155,LRA,2,High,161751.811023712,1608.73723737687
5156,LRA,2,High,745214.872055054,5033.16705636532
5157,LRA,2,High,45599.7014312744,1040.0477696116
5158,LRA,2,High,304243.233501434,4175.6025101574
5159,LRA,2,High,58956.6368484497,1359.13381788064
5160,LRA,2,High,529810.804439545,3741.21058039943
5161,LRA,2,High,2342015.00401688,6600.53351669335
